Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event,table_year,ra_deg,dec_deg
KMT-2018-BLG-0338,BLG20T0105.037431,17:45:51.09,-23:05:55.79,8292.9635,0.59,0.1,27.99,19.6,19.6,1,1.49,,2018,266.46287499999994,-23.098830555555555
KMT-2018-BLG-0339,SSO20M0503.000145,17:47:49.10,-22:10:20.28,8379.43434,33.0,1.996,15.03,14.24,14.24,4,1.67,,2018,266.9545833333333,-22.1723
KMT-2018-BLG-0340,BLG15N0105.020686,17:41:21.94,-27:19:33.24,8327.41049,29.84,0.273,21.42,20.0,20.49,2,3.44,,2018,265.34141666666665,-27.3259
KMT-2018-BLG-0341,BLG38K0103.000556,17:54:40.53,-22:13:39.07,8316.24521,15.17,0.287,19.15,15.81,15.81,4,2.81,,2018,268.66887499999996,-22.227519444444443
KMT-2018-BLG-0342,SAO14M0104.008948,17:41:27.07,-28:24:12.20,8328.1428,3.67,0.016,18.6,19.27,19.27,2,4.22,,2018,265.3627916666666,-28.403388888888887
KMT-2018-BLG-0343,SSO20N0604.017736,17:47:44.92,-23:10:35.00,8326.48825,3.24,0.087,18.65,18.73,18.73,1,1.69,,2018,266.93716666666666,-23.17638888888889
KMT-2018-BLG-0344,BLG14N0505.004538,17:39:04.07,-29:25:20.71,8340.94832,13.1,1.621,17.25,19.77,19.77,2,5.1,,2018,264.76695833333326,-29.422419444444447
KMT-2018-BLG-0345,SAO15N0503.009496,17:38:43.09,-27:33:27.04,8329.23494,16.44,0.261,19.07,18.65,18.65,4,2.57,OB181338,2018,264.6795416666666,-27.55751111111111
KMT-2018-BLG-0346,BLG17K0801.009319,17:39:53.22,-33:07:41.41,8350.44581,46.22,0.411,19.13,19.23,19.23,2,3.39,OB181433,2018,264.97174999999993,-33.128169444444445
KMT-2018-BLG-0347,BLG17K0705.006927,17:40:43.40,-32:36:04.86,8302.58259,25.02,0.406,19.61,19.92,19.92,2,4.76,,2018,265.18083333333334,-32.601350000000004
KMT-2018-BLG-0348,SSO19K0808.003564,17:41:43.67,-23:40:12.72,8341.23049,19.59,0.669,18.76,17.92,17.92,2,1.79,OB181450,2018,265.4319583333333,-23.6702
KMT-2018-BLG-0349,SAO17T0502.023646,17:41:50.80,-34:05:56.65,8301.52502,91.29,0.099,22.47,20.0,20.0,2,2.45,,2018,265.4616666666666,-34.099069444444446
KMT-2018-BLG-0350,SAO17K0502.021651,17:41:50.94,-32:58:52.03,8323.89049,37.85,0.01,22.44,20.0,20.89,2,3.6,,2018,265.46225,-32.981119444444445
KMT-2018-BLG-0351,BLG17K0501.002610,17:41:53.59,-33:10:26.76,8351.23054,20.29,0.602,17.76,18.38,18.38,2,3.5,OB181462,2018,265.4732916666666,-33.174099999999996
KMT-2018-BLG-0352,BLG17T0404.098260,17:42:15.12,-33:52:43.10,8328.97195,30.62,0.334,20.03,20.0,25.0,3,2.62,OB181491,2018,265.563,-33.87863888888889
KMT-2018-BLG-0353,BLG17T0406.012795,17:42:24.87,-33:37:39.54,8290.46453,197.31,0.099,21.35,19.7,19.7,2,2.87,OB180836,2018,265.6036249999999,-33.62765
KMT-2018-BLG-0354,SAO17T0407.010982,17:42:37.71,-33:26:19.57,8317.41188,16.32,0.22,21.02,19.57,19.57,2,2.88,,2018,265.65712499999995,-33.43876944444444
KMT-2018-BLG-0355,SAO19K0603.019052,17:42:41.38,-24:16:03.61,8328.52478,25.5,0.031,22.4,19.06,19.06,1,1.88,,2018,265.6724166666666,-24.267669444444444
KMT-2018-BLG-0356,SAO18K0603.098441,17:42:48.78,-26:19:59.41,8328.10316,9.39,0.199,20.71,20.0,22.05,2,2.77,,2018,265.7032499999999,-26.333169444444444
KMT-2018-BLG-0357,BLG17T0106.037749,17:44:12.20,-33:36:23.18,8313.88107,198.82,0.011,23.46,19.92,19.92,1,2.17,,2018,266.05083333333334,-33.60643888888889
KMT-2018-BLG-0358,BLG17M0803.013220,17:45:01.11,-32:51:47.81,8370.24475,121.73,0.214,19.7,20.0,20.15,2,3.57,OB181145,2018,266.254625,-32.863280555555555
KMT-2018-BLG-0359,SAO17N0704.030783,17:45:31.55,-33:50:01.79,8287.82816,145.8,0.18,20.27,19.41,19.41,1,1.86,MB18199,2018,266.38145833333334,-33.83383055555556
KMT-2018-BLG-0360,SSO17M0603.061295,17:46:19.87,-32:52:03.22,8319.31282,86.81,0.017,24.47,20.0,22.71,2,3.78,,2018,266.58279166666665,-32.86756111111111
KMT-2018-BLG-0361,SSO17M0607.007739,17:46:26.19,-32:20:47.00,8312.82168,23.16,0.288,21.3,20.0,20.85,2,5.4,OB181300,2018,266.60912499999995,-32.34638888888889
KMT-2018-BLG-0362,BLG17M0406.002377,17:47:30.61,-32:31:27.88,8303.25618,66.38,0.254,17.88,18.63,18.63,2,3.73,OB180662,2018,266.8775416666667,-32.52441111111111
KMT-2018-BLG-0363,BLG17N0308.011562,17:47:49.80,-33:18:24.30,8311.09069,14.18,0.79,17.42,18.44,18.44,1,1.72,OB181143,2018,266.9575,-33.306749999999994
KMT-2018-BLG-0364,SSO17N0206.026400,17:48:53.51,-33:37:55.70,8309.51912,29.54,0.207,20.65,19.13,19.13,1,1.51,,2018,267.22295833333334,-33.63213888888889
KMT-2018-BLG-0365,BLG17N0107.003232,17:49:29.43,-33:30:20.99,8281.23673,71.93,0.324,18.21,16.67,16.67,1,1.74,OB180566 MB18174,2018,267.37262499999997,-33.505830555555555
KMT-2018-BLG-0366,SAO17M0105.002396,17:49:30.17,-32:38:36.96,8300.35025,24.9,0.829,18.14,17.67,17.67,2,2.68,OB180997,2018,267.3757083333333,-32.6436
KMT-2018-BLG-0367,SAO12M0302.002858,17:30:51.65,-27:34:49.12,8327.17748,3.88,1.676,16.56,17.52,17.52,2,2.29,,2018,262.71520833333335,-27.58031111111111
KMT-2018-BLG-0368,BLG14K0304.075857,17:35:12.09,-28:20:44.34,8328.40326,171.23,0.024,24.3,20.0,21.81,2,3.07,,2018,263.800375,-28.34565
KMT-2018-BLG-0369,SAO15N0801.045140,17:37:19.15,-27:47:40.02,8387.59117,40.43,0.964,17.12,20.0,21.29,2,3.14,,2018,264.32979166666667,-27.79445
KMT-2018-BLG-0370,SSO15M0704.005065,17:37:45.84,-26:14:59.50,8364.88605,119.29,0.329,20.55,18.59,18.59,2,2.98,,2018,264.441,-26.249861111111112
KMT-2018-BLG-0371,SAO14M0602.042418,17:38:39.84,-28:37:49.80,8329.93796,6.67,1.749,17.49,20.0,21.2,2,3.57,,2018,264.666,-28.6305
KMT-2018-BLG-0372,SAO17T0607.079810,17:41:09.10,-33:26:03.91,8323.80582,20.09,0.041,22.3,20.0,22.02,2,3.12,,2018,265.28791666666666,-33.434419444444444
KMT-2018-BLG-0373,BLG17T0508.032041,17:41:39.85,-33:20:38.51,8326.96204,30.34,0.467,20.47,20.0,21.35,2,3.51,,2018,265.4160416666667,-33.344030555555555
KMT-2018-BLG-0374,BLG17T0202.007271,17:43:31.90,-34:10:56.78,8401.0299,159.89,0.421,19.38,17.83,17.83,1,1.81,OB181262,2018,265.88291666666663,-34.18243888888889
KMT-2018-BLG-0375,SAO17N0806.072280,17:45:22.01,-33:37:00.80,8338.31239,13.77,1.124,18.03,20.0,20.39,1,1.71,,2018,266.3417083333333,-33.61688888888889
KMT-2018-BLG-0376,SAO20M0602.042645,17:47:32.49,-22:14:11.40,8329.25718,44.13,0.157,21.19,19.97,19.97,1,1.65,,2018,266.885375,-22.2365
KMT-2018-BLG-0377,SAO17N0408.015240,17:47:35.78,-33:21:00.29,8329.12118,2.74,0.066,18.44,18.78,18.78,2,1.71,,2018,266.89908333333335,-33.35008055555556
KMT-2018-BLG-0378,BLG17M0202.040238,17:48:57.94,-32:58:58.91,8332.78078,44.7,0.084,21.32,20.0,20.26,1,2.35,OB181430,2018,267.2414166666666,-32.98303055555556
KMT-2018-BLG-0379,SSO12T0403.024019,17:25:36.05,-28:34:19.49,8341.56212,33.21,0.061,20.22,20.0,20.66,2,2.58,OB181418,2018,261.4002083333333,-28.572080555555555
KMT-2018-BLG-0380,BLG11T0203.007726,17:26:29.36,-30:42:44.14,8329.2477,13.99,0.25,20.81,20.0,20.01,2,3.75,,2018,261.6223333333333,-30.71226111111111
KMT-2018-BLG-0381,SAO12M0804.003838,17:27:45.00,-27:16:50.77,8354.51937,85.91,0.091,21.08,18.89,18.89,2,2.41,,2018,261.93749999999994,-27.280769444444445
KMT-2018-BLG-0382,BLG14T0407.009311,17:34:42.82,-29:08:59.39,8328.71808,8.04,1.526,18.55,19.23,19.23,2,3.46,,2018,263.67841666666664,-29.149830555555557
KMT-2018-BLG-0383,BLG16K0102.030359,17:36:46.10,-24:28:14.99,8329.30172,4.82,0.914,18.6,20.0,21.16,2,2.76,,2018,264.1920833333333,-24.470830555555555
KMT-2018-BLG-0384,BLG15N0601.114200,17:38:17.16,-27:48:09.00,8343.88729,29.52,0.11,19.44,20.0,25.0,3,2.67,MB18304,2018,264.57149999999996,-27.802500000000002
KMT-2018-BLG-0385,BLG17T0302.042090,17:43:12.26,-34:08:28.00,8357.52004,48.69,0.084,20.19,20.0,20.1,1,1.99,OB181411,2018,265.8010833333333,-34.14111111111111
KMT-2018-BLG-0386,BLG18T0507.093392,17:43:33.73,-26:58:17.11,8302.94595,33.06,0.094,20.61,20.0,22.67,2,3.69,OB181194,2018,265.89054166666665,-26.971419444444443
KMT-2018-BLG-0387,SSO18T0207.101265,17:45:16.02,-26:59:16.48,8313.35268,11.84,0.211,19.3,20.0,25.0,3,3.65,OB181255,2018,266.31674999999996,-26.987911111111114
KMT-2018-BLG-0388,BLG18M0802.042376,17:46:28.55,-26:32:51.11,8330.98412,16.19,0.003,22.93,20.0,21.63,2,3.98,,2018,266.6189583333333,-26.547530555555557
KMT-2018-BLG-0389,BLG19N0605.009750,17:47:29.59,-25:08:26.05,8362.18802,47.61,0.141,19.83,20.0,20.19,2,3.91,OB181527,2018,266.87329166666666,-25.140569444444445
KMT-2018-BLG-0390,SAO17N0403.063449,17:47:38.94,-34:01:12.29,8321.49472,54.61,0.24,21.61,20.0,20.48,1,1.59,,2018,266.91225,-34.02008055555555
KMT-2018-BLG-0391,SAO19M0405.041843,17:48:32.46,-24:02:15.11,8339.8963,41.82,0.186,20.89,20.0,20.35,2,2.06,OB181540,2018,267.13525,-24.037530555555556
KMT-2018-BLG-0392,BLG38T0406.016223,17:53:08.70,-22:51:30.17,8339.05043,10.36,0.804,18.56,19.51,19.51,4,2.45,,2018,268.28624999999994,-22.858380555555556
KMT-2018-BLG-0393,SAO12M0508.017264,17:29:52.06,-26:51:27.68,8340.47538,26.96,0.002,20.81,20.0,20.84,2,2.84,,2018,262.46691666666663,-26.85768888888889
KMT-2018-BLG-0394,BLG15T0504.068899,17:34:10.47,-27:22:46.42,8331.63401,8.55,0.022,22.57,20.0,22.76,2,3.26,,2018,263.54362499999996,-27.379561111111112
KMT-2018-BLG-0395,BLG14N0806.010886,17:37:13.07,-29:17:03.91,8374.19759,20.49,1.991,16.23,19.48,19.48,2,3.67,OB181602,2018,264.30445833333334,-29.284419444444445
KMT-2018-BLG-0396,BLG15N0104.084199,17:41:16.20,-27:27:32.98,8332.03487,15.71,0.115,21.67,20.0,22.11,2,3.28,,2018,265.3175,-27.45916111111111
KMT-2018-BLG-0397,BLG18T0403.020069,17:44:07.52,-27:27:31.14,8301.75409,150.64,0.023,21.69,20.0,20.59,2,4.35,,2018,266.0313333333333,-27.45865
KMT-2018-BLG-0398,BLG11M0402.018340,17:30:14.72,-29:45:22.43,8334.74661,15.34,0.116,20.94,19.43,19.43,2,2.03,OB181416,2018,262.56133333333327,-29.756230555555554
KMT-2018-BLG-0399,BLG16T0107.011839,17:36:25.85,-24:55:55.78,8332.39817,2.16,0.241,20.36,19.92,19.92,2,2.55,,2018,264.10770833333333,-24.932161111111114
KMT-2018-BLG-0400,BLG14T0105.083534,17:36:34.06,-29:23:27.17,8333.97151,43.54,0.007,23.38,20.0,22.06,3,3.53,,2018,264.14191666666665,-29.390880555555555
KMT-2018-BLG-0401,BLG14N0408.032292,17:39:20.55,-29:00:41.58,8333.01469,9.13,0.323,21.89,20.0,21.99,2,4.34,,2018,264.835625,-29.01155
KMT-2018-BLG-0402,BLG16M0406.088842,17:39:28.13,-23:55:06.20,8341.36458,28.53,0.013,20.6,20.0,25.0,3,1.8,,2018,264.8672083333333,-23.91838888888889
KMT-2018-BLG-0403,BLG20T0304.065282,17:44:16.45,-23:06:27.86,8333.85996,6.31,0.078,20.31,20.0,21.25,2,1.73,OB181451,2018,266.06854166666665,-23.10773888888889
KMT-2018-BLG-0404,BLG17N0401.040926,17:47:33.46,-34:14:23.89,8330.62019,10.97,0.393,20.72,19.67,19.67,1,1.44,,2018,266.88941666666665,-34.23996944444445
KMT-2018-BLG-0405,SSO20N0503.025523,17:48:08.10,-23:19:09.59,8297.21061,49.79,1.124,19.47,19.08,19.08,1,1.65,,2018,267.03375,-23.319330555555556
KMT-2018-BLG-0406,SSO14N0604.074111,17:38:08.64,-29:32:11.15,8333.38956,4.72,0.084,21.56,20.0,22.64,2,4.23,,2018,264.536,-29.536430555555558
KMT-2018-BLG-0407,BLG15M0206.007447,17:40:26.03,-25:58:42.35,8337.34561,25.74,1.579,17.8,19.11,19.11,2,2.9,,2018,265.1084583333333,-25.978430555555555
KMT-2018-BLG-0408,BLG17K0604.018938,17:41:07.02,-32:45:00.61,8331.12715,5.46,0.855,19.39,20.0,20.59,2,3.55,,2018,265.27925,-32.750169444444445
KMT-2018-BLG-0409,BLG18K0603.079245,17:42:42.26,-26:23:14.53,8340.92162,17.21,0.275,20.59,20.0,21.46,2,2.99,,2018,265.6760833333333,-26.387369444444445
KMT-2018-BLG-0410,BLG18K0503.062246,17:43:29.70,-26:22:38.64,8334.77153,9.11,0.217,20.9,20.0,21.11,2,2.9,,2018,265.87375,-26.3774
KMT-2018-BLG-0411,SAO18K0204.013880,17:45:06.06,-26:18:36.76,8340.67316,17.44,1.566,17.9,19.64,19.64,2,3.22,,2018,266.27524999999997,-26.310211111111112
KMT-2018-BLG-0412,BLG19M0108.012258,17:50:03.89,-23:43:24.56,8349.69826,22.05,1.863,17.02,19.46,19.46,2,2.33,,2018,267.5162083333333,-23.723488888888888
KMT-2018-BLG-0413,BLG11K0803.056912,17:23:00.81,-29:34:52.90,8335.80901,30.12,0.026,22.79,20.0,21.06,2,1.89,,2018,260.75337499999995,-29.58136111111111
KMT-2018-BLG-0414,BLG15K0805.018190,17:32:32.09,-26:08:20.04,8337.06872,8.86,0.36,20.49,20.0,21.66,2,3.73,,2018,263.1337083333333,-26.1389
KMT-2018-BLG-0415,BLG14T0507.099518,17:34:13.77,-29:10:21.79,8337.32051,19.18,0.056,21.79,20.0,25.0,3,3.4,,2018,263.557375,-29.172719444444446
KMT-2018-BLG-0416,BLG16K0504.014951,17:34:31.83,-24:11:12.16,8337.46713,182.34,0.017,24.51,20.0,20.02,2,2.41,,2018,263.63262499999996,-24.186711111111112
KMT-2018-BLG-0417,BLG14N0204.008999,17:40:36.32,-29:33:11.16,8357.38739,20.76,1.996,17.24,20.0,21.81,2,7.68,,2018,265.1513333333333,-29.5531
KMT-2018-BLG-0418,BLG18T0803.007752,17:41:51.55,-27:28:51.96,8334.61749,20.89,0.099,21.82,18.57,18.57,2,3.32,OB181454,2018,265.46479166666666,-27.481099999999998
KMT-2018-BLG-0419,SSO17N0702.052864,17:45:58.08,-34:07:21.11,8341.12096,6.35,1.511,16.35,19.84,19.84,1,1.52,OB181545 MB18311,2018,266.49199999999996,-34.12253055555556
KMT-2018-BLG-0420,SSO11K0707.042162,17:23:40.40,-29:04:23.48,8338.39272,12.92,0.029,21.02,20.0,20.4,1,1.92,OB181508,2018,260.9183333333333,-29.07318888888889
KMT-2018-BLG-0421,BLG14T0306.032151,17:35:13.76,-29:15:46.98,8335.39062,36.13,0.048,23.48,20.0,21.36,2,3.86,,2018,263.8073333333333,-29.26305
KMT-2018-BLG-0422,SSO17T0704.077146,17:40:28.55,-33:48:53.86,8334.97942,50.73,0.009,24.64,20.0,21.86,2,2.83,,2018,265.11895833333335,-33.81496111111111
KMT-2018-BLG-0423,SSO18K0705.064743,17:42:11.77,-26:08:14.71,8340.01974,31.23,0.595,19.0,20.0,21.61,2,3.07,OB181428,2018,265.54904166666665,-26.137419444444443
KMT-2018-BLG-0424,BLG19M0207.107732,17:49:42.37,-23:43:55.81,8343.33973,55.76,0.038,21.51,20.0,25.0,3,2.11,,2018,267.4265416666666,-23.73216944444444
KMT-2018-BLG-0425,SSO19M0207.003963,17:49:51.62,-23:49:35.15,8340.06177,2.48,0.961,16.56,17.54,17.54,2,2.05,OB181529,2018,267.4650833333333,-23.826430555555554
KMT-2018-BLG-0426,SSO17T0503.076951,17:41:43.32,-34:02:21.73,8339.97343,72.52,0.057,22.56,20.0,21.32,2,2.37,,2018,265.4305,-34.03936944444444
KMT-2018-BLG-0427,SSO17N0201.002157,17:49:00.94,-34:15:14.00,8391.60143,20.22,1.68,15.26,16.36,16.36,1,1.7,OB181593 OB181611 MB18358,2018,267.2539166666666,-34.25388888888889
KMT-2018-BLG-0428,SSO11M0502.021201,17:29:27.45,-29:42:34.42,8354.14951,44.99,0.241,21.4,19.72,19.72,2,2.49,OB181449,2018,262.364375,-29.70956111111111
KMT-2018-BLG-0429,SSO20T0404.054610,17:43:54.83,-23:13:28.42,8336.10187,2.97,1.949,15.67,20.0,20.97,2,1.77,,2018,265.97845833333326,-23.22456111111111
KMT-2018-BLG-0430,SAO14K0703.100421,17:33:01.73,-28:33:41.11,8339.53937,13.6,0.013,22.49,20.0,23.26,3,3.21,,2018,263.2572083333333,-28.561419444444446
KMT-2018-BLG-0431,BLG14K0603.104351,17:33:25.09,-28:35:32.24,8340.40451,11.49,0.035,22.14,20.0,25.0,3,3.57,,2018,263.35454166666665,-28.592288888888888
KMT-2018-BLG-0432,BLG19K0502.006116,17:43:18.31,-24:28:50.30,8343.43581,38.17,0.244,21.03,18.08,18.08,1,2.2,,2018,265.82629166666663,-24.480638888888887
KMT-2018-BLG-0433,SSO17N0804.030159,17:45:02.85,-33:54:14.80,8342.50234,17.61,0.076,21.38,19.33,19.33,1,1.75,OB181538,2018,266.261875,-33.904111111111106
KMT-2018-BLG-0434,BLG14K0804.069061,17:32:32.21,-28:24:54.65,8345.53452,31.63,0.363,21.05,20.0,21.37,2,2.66,,2018,263.13420833333333,-28.415180555555555
KMT-2018-BLG-0435,BLG15T0705.047225,17:33:04.14,-27:19:16.50,8341.93309,5.03,0.178,21.04,20.0,21.23,2,2.68,OB181507,2018,263.26725,-27.32125
KMT-2018-BLG-0436,BLG14M0802.059119,17:37:00.50,-28:41:18.89,8341.75357,24.42,0.06,23.1,20.0,21.48,2,3.2,,2018,264.2520833333333,-28.688580555555557
KMT-2018-BLG-0437,SSO15N0801.048202,17:37:19.38,-27:49:37.34,8349.48866,6.86,1.403,17.46,20.0,21.36,2,3.02,,2018,264.33074999999997,-27.82703888888889
KMT-2018-BLG-0438,BLG14M0603.003816,17:38:27.03,-28:32:43.33,8337.87641,132.62,0.102,21.68,18.3,18.3,2,3.49,,2018,264.612625,-28.545369444444447
KMT-2018-BLG-0439,SSO19T0602.068893,17:42:59.83,-25:29:00.89,8352.23858,114.38,0.007,22.53,20.0,21.38,2,2.9,,2018,265.74929166666664,-25.483580555555555
KMT-2018-BLG-0440,BLG19T0603.062504,17:43:01.93,-25:23:14.46,8352.50431,98.15,0.368,20.39,20.0,21.63,2,3.12,,2018,265.7580416666666,-25.387349999999998
KMT-2018-BLG-0441,SAO19T0205.007949,17:44:49.98,-25:07:14.92,8351.88788,27.85,0.234,20.15,18.86,18.86,2,2.53,OB181528,2018,266.20824999999996,-25.120811111111113
KMT-2018-BLG-0442,SSO20N0807.046655,17:46:17.54,-22:49:18.19,8351.35274,137.9,0.05,23.76,19.96,19.96,1,1.55,,2018,266.5730833333333,-22.821719444444444
KMT-2018-BLG-0443,SSO17N0103.069320,17:49:07.21,-33:59:12.59,8348.02678,10.11,0.471,16.83,20.0,20.73,1,1.38,OB181356 OB181522 MB18306,2018,267.28004166666665,-33.98683055555556
KMT-2018-BLG-0444,SAO19M0103.009954,17:50:09.98,-24:14:18.64,8342.55286,46.11,0.018,21.96,19.92,19.92,2,2.99,,2018,267.5415833333333,-24.238511111111112
KMT-2018-BLG-0445,BLG20N0101.002082,17:50:16.22,-23:32:57.26,8352.43364,18.7,0.761,17.71,16.91,16.91,3,2.23,OB181452,2018,267.5675833333333,-23.54923888888889
KMT-2018-BLG-0446,SAO14K0506.054942,17:34:08.94,-28:09:36.00,8312.73066,23.36,0.617,15.01,20.0,20.98,2,2.72,OB181141,2018,263.53725,-28.16
KMT-2018-BLG-0447,BLG14K0405.081327,17:34:56.02,-28:13:15.53,8344.55755,135.83,0.002,24.67,20.0,21.75,2,3.09,,2018,263.73341666666664,-28.220980555555553
KMT-2018-BLG-0448,BLG14M0107.021939,17:41:10.62,-28:01:46.24,8338.70447,55.41,0.344,21.09,20.0,20.53,2,3.8,,2018,265.29425,-28.02951111111111
KMT-2018-BLG-0449,SSO17N0103.054240,17:49:06.95,-33:59:12.41,8348.02678,10.11,0.471,16.83,20.0,20.03,1,1.38,OB181356 OB181522 MB18306,2018,267.2789583333333,-33.986780555555555
KMT-2018-BLG-0450,BLG15M0705.020461,17:37:51.33,-26:11:15.07,8353.0543,15.99,0.943,19.32,20.0,20.77,2,3.25,,2018,264.463875,-26.187519444444444
KMT-2018-BLG-0451,BLG14M0408.030509,17:39:42.21,-27:50:28.72,8349.41075,11.74,0.184,19.98,20.0,20.55,2,2.94,OB181530,2018,264.9258749999999,-27.84131111111111
KMT-2018-BLG-0452,BLG16N0303.044849,17:39:56.22,-25:27:28.58,8342.36328,192.77,0.056,24.17,20.0,21.12,2,2.74,,2018,264.9842499999999,-25.457938888888886
KMT-2018-BLG-0453,BLG14M0107.029235,17:41:28.57,-27:59:55.97,8344.88002,14.83,0.008,22.6,20.0,20.89,2,3.81,,2018,265.36904166666665,-27.998880555555555
KMT-2018-BLG-0454,SSO17T0502.054767,17:41:48.14,-34:04:48.94,8342.0832,7.15,0.454,21.17,20.0,20.84,2,2.44,,2018,265.4505833333333,-34.08026111111111
KMT-2018-BLG-0455,SSO17T0505.018345,17:42:01.41,-33:44:37.79,8346.09585,10.93,0.1,21.45,19.82,19.82,2,2.61,,2018,265.50587499999995,-33.743830555555554
KMT-2018-BLG-0456,BLG19T0305.073068,17:44:23.85,-25:09:22.75,8347.20518,18.94,0.065,22.84,20.0,21.45,2,2.81,,2018,266.09937499999995,-25.156319444444442
KMT-2018-BLG-0457,BLG18T0206.026306,17:44:55.52,-27:08:27.02,8350.03134,52.82,0.054,25.83,20.0,21.04,2,4.01,,2018,266.23133333333334,-27.14083888888889
KMT-2018-BLG-0458,SAO19M0607.037203,17:47:14.11,-23:44:20.18,8344.6711,53.03,0.007,22.85,20.0,20.28,1,2.27,OB181539,2018,266.80879166666665,-23.73893888888889
KMT-2018-BLG-0459,BLG17M0207.006999,17:48:47.72,-32:19:52.00,8347.15765,6.42,0.248,20.95,19.96,19.96,2,4.5,OB181561,2018,267.1988333333333,-32.33111111111111
KMT-2018-BLG-0460,BLG19N0404.004149,17:48:48.61,-25:20:29.62,8323.72826,29.95,0.109,19.24,19.96,19.96,2,5.65,,2018,267.20254166666666,-25.34156111111111
KMT-2018-BLG-0461,SSO14K0405.022246,17:34:57.79,-28:14:05.39,8331.7135,35.4,0.208,20.31,20.0,20.34,2,3.16,OB181429,2018,263.7407916666666,-28.234830555555558
KMT-2018-BLG-0462,BLG15T0306.014370,17:35:28.79,-27:07:50.41,8353.12035,54.41,0.168,20.0,18.74,18.74,1,2.01,OB181414 MB18325,2018,263.8699583333333,-27.130669444444443
KMT-2018-BLG-0463,BLG19T0506.031478,17:43:29.06,-24:58:20.60,8349.82252,75.63,0.087,22.88,20.0,21.12,2,3.07,,2018,265.8710833333333,-24.972388888888887
KMT-2018-BLG-0464,SSO11M0604.043105,17:29:10.62,-29:28:09.19,8350.27957,39.65,0.076,22.87,19.92,19.92,1,1.82,,2018,262.29425,-29.46921944444444
KMT-2018-BLG-0465,SAO14T0706.036697,17:33:09.90,-29:12:25.67,8350.79919,36.44,0.22,21.26,20.0,20.74,2,2.67,,2018,263.29125,-29.207130555555555
KMT-2018-BLG-0466,SSO15K0503.102803,17:34:25.65,-26:22:05.52,8345.66061,39.28,0.005,24.52,20.0,25.0,3,2.91,,2018,263.60687499999995,-26.3682
KMT-2018-BLG-0467,BLG15M0807.015030,17:37:14.67,-25:51:35.57,8349.33331,25.08,0.867,19.73,20.0,20.78,3,3.19,,2018,264.311125,-25.859880555555556
KMT-2018-BLG-0468,BLG15N0308.067772,17:39:55.06,-26:50:50.89,8347.4042,8.18,0.066,22.93,20.0,22.18,2,3.28,,2018,264.97941666666657,-26.847469444444442
KMT-2018-BLG-0469,BLG14M0305.042189,17:40:00.14,-28:13:21.68,8355.25853,42.69,0.047,21.78,20.0,21.19,2,3.21,,2018,265.0005833333333,-28.222688888888886
KMT-2018-BLG-0470,BLG14M0305.004064,17:40:01.95,-28:15:08.39,8361.14337,31.84,0.231,19.66,18.13,18.13,2,3.29,,2018,265.008125,-28.252330555555556
KMT-2018-BLG-0471,BLG14M0206.003649,17:40:29.29,-28:08:35.34,8345.8071,127.06,0.072,22.83,18.55,18.55,2,4.02,,2018,265.12204166666663,-28.14315
KMT-2018-BLG-0472,BLG19T0301.017600,17:44:25.44,-25:40:46.96,8353.6674,11.79,0.418,19.79,20.0,20.1,2,2.96,,2018,266.106,-25.67971111111111
KMT-2018-BLG-0473,BLG19T0302.030332,17:44:43.85,-25:35:20.18,8353.14942,10.29,1.658,17.72,20.0,20.7,2,2.96,,2018,266.1827083333333,-25.588938888888887
KMT-2018-BLG-0474,BLG17N0806.026134,17:44:55.31,-33:37:45.91,8437.06894,90.8,0.052,19.0,19.15,19.15,1,1.81,OB181683,2018,266.23045833333333,-33.629419444444444
KMT-2018-BLG-0475,BLG19M0708.030856,17:46:59.84,-23:41:02.80,8359.45834,40.54,0.019,20.24,19.61,19.61,1,2.02,OB181596,2018,266.74933333333325,-23.68411111111111
KMT-2018-BLG-0476,SSO19N0508.011923,17:47:56.30,-24:50:20.36,8346.67578,17.54,0.355,20.91,20.0,20.14,2,3.9,,2018,266.9845833333334,-24.83898888888889
KMT-2018-BLG-0477,SAO20M0408.011521,17:48:33.23,-21:28:53.72,8355.20168,67.34,0.023,21.86,18.89,18.89,4,1.61,,2018,267.1384583333333,-21.481588888888886
KMT-2018-BLG-0478,BLG12K0202.023858,17:26:31.33,-27:33:49.28,8352.23756,166.59,0.048,24.03,20.0,20.13,2,1.8,,2018,261.63054166666666,-27.56368888888889
KMT-2018-BLG-0479,BLG15M0704.010704,17:37:38.02,-26:19:46.85,8364.94338,5.59,1.977,15.23,19.8,19.8,2,2.66,OB181639,2018,264.40841666666665,-26.329680555555555
KMT-2018-BLG-0480,BLG14N0508.065887,17:39:08.88,-28:57:20.23,8351.67122,11.24,0.021,21.42,20.0,22.27,2,4.46,,2018,264.787,-28.955619444444444
KMT-2018-BLG-0481,BLG19K0505.002537,17:43:28.66,-24:06:07.20,8359.76771,82.78,0.331,20.21,16.32,16.32,1,1.62,,2018,265.8694166666666,-24.102
KMT-2018-BLG-0482,BLG17N0607.000702,17:46:08.62,-33:30:27.11,8361.89753,7.02,0.29,15.92,15.7,15.7,1,2.73,OB181620 MB18332,2018,266.53591666666665,-33.507530555555554
